CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSal2015 (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSal2015 (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSal2015 (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoSal2015 (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.0000 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.6896 max-Emeasure || 0.6212 S-measure  || 0.4302 max-fm || 0.1473 mae || 0.6473 mean-Emeasure || 0.4031 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.8223 max-Emeasure || 0.7635 S-measure  || 0.7268 max-fm || 0.1171 mae || 0.7678 mean-Emeasure || 0.6698 mean-fm.
CoSal2015 (GCoNet_ext-epCoCA): 0.8593 max-Emeasure || 0.7974 S-measure  || 0.8039 max-fm || 0.1173 mae || 0.7917 mean-Emeasure || 0.7290 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.7423 max-Emeasure || 0.6327 S-measure  || 0.4661 max-fm || 0.1442 mae || 0.6037 mean-Emeasure || 0.3689 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.8165 max-Emeasure || 0.7335 S-measure  || 0.7006 max-fm || 0.1388 mae || 0.6761 mean-Emeasure || 0.5723 mean-fm.
CoSal2015 (GCoNet_ext-epCoCA): 0.8297 max-Emeasure || 0.7594 S-measure  || 0.7562 max-fm || 0.1484 mae || 0.6981 mean-Emeasure || 0.6300 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.7329 max-Emeasure || 0.6641 S-measure  || 0.5066 max-fm || 0.1318 mae || 0.6867 mean-Emeasure || 0.4749 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.7329 max-Emeasure || 0.6641 S-measure  || 0.5066 max-fm || 0.1318 mae || 0.6867 mean-Emeasure || 0.4749 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.7329 max-Emeasure || 0.6641 S-measure  || 0.5066 max-fm || 0.1318 mae || 0.6867 mean-Emeasure || 0.4749 mean-fm.
